"array_element_name","is_control","locus","description"
"245714_at","no","AT5G04280","RNA-binding (RRM/RBD/RNP motifs) family protein with retrovirus zinc finger-like domain"
"245715_s_at","no","AT5G08670;AT5G08690","[AT5G08670, ATP synthase alpha/beta family protein];[AT5G08690, ATP synthase alpha/beta family protein]"
"245716_at","no","AT5G08740","NAD(P)H dehydrogenase C1"
"245717_at","no","AT5G33390","glycine-rich protein"
"245718_at","no","AT5G04110","DNA GYRASE B3"
"245719_at","no","AT5G04110","DNA GYRASE B3"
"245720_at","no","AT5G04210","CCCH-type zinc fingerfamily protein with RNA-binding domain"
"245721_s_at","no","AT1G73460;AT1G73450","[AT1G73460, Protein kinase superfamily protein];[AT1G73450, Protein kinase superfamily protein]"
"245722_at","no","AT1G73430","sec34-like family protein"
"245723_at","no","AT1G73400","Pentatricopeptide repeat (PPR) superfamily protein"
"245724_at","no","AT1G73390","Endosomal targeting BRO1-like domain-containing protein"
"245725_at","no","AT1G73370","sucrose synthase 6"
"245726_at","no","AT1G73360","homeodomain GLABROUS 11"
"245727_at","no","AT1G73350","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: nucleus; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; Has 46 Blast hits to 46 proteins in 19 species: Archae - 0; Bacteria - 0; Metazoa - 3; Fungi - 3; Plants - 36; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink)."
"245728_at","no","AT1G73340","Cytochrome P450 superfamily protein"
"245729_at","no","AT1G73490","RNA-binding (RRM/RBD/RNP motifs) family protein"
"245730_at","no","AT1G73470","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 72 Blast hits to 72 proteins in 35 species: Archae - 0; Bacteria - 50; Metazoa - 0; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245731_at","no","AT1G73500","MAP kinase kinase 9"
"245732_at","no","AT1G73440","calmodulin-related"
"245733_at","no","AT1G73380","unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1308 (InterPro:IPR010733); Has 162 Blast hits to 160 proteins in 67 species: Archae - 0; Bacteria - 2; Metazoa - 120; Fungi - 0; Plants - 34; Viruses - 0; Other Eukaryotes - 6 (source: NCBI BLink)."
"245734_at","no","AT1G73480","alpha/beta-Hydrolases superfamily protein"
"245735_at","no","AT1G73410","myb domain protein 54"
"245736_at","no","AT1G73330","drought-repressed 4"
"245737_at","no","AT1G44160","HSP40/DnaJ peptide-binding protein"
"245738_at","no","AT1G44130","Eukaryotic aspartyl protease family protein"
"245739_at","no","AT1G44110","Cyclin A1;1"
"245740_at","no","AT1G44100","amino acid permease 5"
"245741_at","no","AT1G44120","Armadillo/beta-catenin-like repeat ; C2 calcium/lipid-binding domain (CaLB) protein"
"245742_at","no","AT1G44170","aldehyde dehydrogenase 3H1"
"245743_at","no","AT1G51080","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 15 plant structures; EXPRESSED DURING: 11 growth stages; Has 101 Blast hits to 98 proteins in 44 species: Archae - 0; Bacteria - 0; Metazoa - 38; Fungi - 10; Plants - 27; Viruses - 0; Other Eukaryotes - 26 (source: NCBI BLink)."
"245744_at","no","AT1G51110","Plastid-lipid associated protein PAP / fibrillin family protein"
"245745_at","no","AT1G51110","Plastid-lipid associated protein PAP / fibrillin family protein"
"245746_at","no","AT1G51070","basic helix-loop-helix (bHLH) DNA-binding superfamily protein"
"245747_at","no","AT1G51100","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, chloroplast stroma; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 26 Blast hits to 26 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 26; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245748_at","no","AT1G51140","basic helix-loop-helix (bHLH) DNA-binding superfamily protein"
"245749_at","no","AT1G51090","Heavy metal transport/detoxification superfamily protein "
"245750_at","no","AT1G51060","histone H2A 10"
"245751_s_at","no","AT1G25682;AT1G25988","[AT1G25682, Family of unknown function (DUF572) ];[AT1G25988, Family of unknown function (DUF572) ]"
"245752_at","no","AT1G35150","General transcription factor 2-related zinc finger protein"
"245753_at","no","AT1G35143","transposable element gene"
"245754_at","no","AT1G35183","unknown protein; Has 5 Blast hits to 5 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 5; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245755_at","no","AT1G35210","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 14 plant structures; EXPRESSED DURING: 9 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF740 (InterPro:IPR008004); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G22470.1); Has 83 Blast hits to 83 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 81; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink)."
"245756_at","no","AT1G35190","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"
"245757_at","no","AT1G35140","Phosphate-responsive 1 family protein"
"245758_at","no","AT1G32240","Homeodomain-like superfamily protein"
"245759_at","no","AT1G66900","alpha/beta-Hydrolases superfamily protein"
"245760_s_at","no","AT1G66920;AT1G66910","[AT1G66920, Protein kinase superfamily protein];[AT1G66910, Protein kinase superfamily protein]"
"245761_at","no","AT1G66890","FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: 50S ribosomal protein-related (TAIR:AT5G16200.1); Has 36 Blast hits to 36 proteins in 7 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 36; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245762_at","no","AT1G27880","DEAD/DEAH box RNA helicase family protein "
"245763_at","no","AT1G27850","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G40070.1); Has 9215 Blast hits to 5316 proteins in 473 species: Archae - 6; Bacteria - 773; Metazoa - 3392; Fungi - 1710; Plants - 539; Viruses - 143; Other Eukaryotes - 2652 (source: NCBI BLink)."
"245764_s_at","no","AT1G19750;AT1G27840","[AT1G19750, Transducin/WD40 repeat-like superfamily protein];[AT1G27840, Transducin/WD40 repeat-like superfamily protein]"
"245765_at","no","AT1G33600","Leucine-rich repeat (LRR) family protein"
"245766_at","no","AT1G33580","transposable element gene"
"245767_at","no","AT1G33612","Leucine-rich repeat (LRR) family protein"
"245768_at","no","AT1G33590","Leucine-rich repeat (LRR) family protein"
"245769_at","no","AT1G30220","inositol transporter 2"
"245770_at","no","AT1G30240","FUNCTIONS IN: binding; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Armadillo-type fold (InterPro:IPR016024); Has 165 Blast hits to 164 proteins in 73 species: Archae - 0; Bacteria - 0; Metazoa - 47; Fungi - 68; Plants - 46; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink)."
"245772_at","no","AT1G30300","Metallo-hydrolase/oxidoreductase superfamily protein"
"245773_at","no","AT1G30290","Tetratricopeptide repeat (TPR)-like superfamily protein"
"245774_at","no","AT1G30210","TEOSINTE BRANCHED 1, cycloidea, and PCF family 24"
"245775_at","no","AT1G30270","CBL-interacting protein kinase 23"
"245776_at","no","AT1G30260","BEST Arabidopsis thaliana protein match is: Galactosyltransferase family protein (TAIR:AT4G21060.1); Has 30 Blast hits to 30 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 30; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245777_at","no","AT1G73540","nudix hydrolase homolog 21"
"245778_at","no","AT1G73530","RNA-binding (RRM/RBD/RNP motifs) family protein"
"245779_at","no","AT1G73510","unknown protein; Has 7 Blast hits to 7 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 7; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245780_at","no","AT1G45688","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G42860.1); Has 258 Blast hits to 242 proteins in 39 species: Archae - 0; Bacteria - 11; Metazoa - 10; Fungi - 14; Plants - 198; Viruses - 17; Other Eukaryotes - 8 (source: NCBI BLink)."
"245781_at","no","AT1G45976","S-ribonuclease binding protein 1"
"245782_at","no","AT1G35200","60S ribosomal protein L4/L1 (RPL4B), pseudogene, similar to 60S ribosomal protein L4 (fragment) GB:P49691 from (Arabidopsis thaliana); blastp match of 50% identity and 6.3e-17 P-value to SP|Q9XF97|RL4_PRUAR 60S ribosomal protein L4 (L1). (Apricot) {Prunus armeniaca}"
"245783_s_at","no","AT1G35180;AT1G35170","[AT1G35180, TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein];[AT1G35170, TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein]"
"245784_at","no","AT1G32190","alpha/beta-Hydrolases superfamily protein"
"245785_at","no","AT1G32180","cellulose synthase-like D6"
"245786_at","no","AT1G32150","basic region/leucine zipper transcription factor 68"
"245787_at","no","AT1G32130","Transcription elongation factor (TFIIS) family protein"
"245788_at","no","AT1G32120","FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: membrane; EXPRESSED IN: 14 plant structures; EXPRESSED DURING: 4 anthesis, C globular stage, F mature embryo stage, petal differentiation and expansion stage, E expanded cotyledon stage; CONTAINS InterPro DOMAIN/s: Aminotransferase-like, plant mobile domain (InterPro:IPR019557), Protein of unknown function DUF716 (InterPro:IPR006904); BEST Arabidopsis thaliana protein match is: Aminotransferase-like, plant mobile domain family protein (TAIR:AT1G51538.1); Has 16736 Blast hits to 9656 proteins in 576 species: Archae - 4; Bacteria - 1182; Metazoa - 7098; Fungi - 2631; Plants - 1178; Viruses - 174; Other Eukaryotes - 4469 (source: NCBI BLink)."
"245789_at","no","AT1G32090","early-responsive to dehydration stress protein (ERD4)"
"245790_at","no","AT1G32200","phospholipid/glycerol acyltransferase family protein"
"245791_at","no","AT1G32210","Defender against death (DAD family) protein"
"245792_at","no","AT1G32100","pinoresinol reductase 1"
"245793_at","no","AT1G32220","NAD(P)-binding Rossmann-fold superfamily protein"
"245794_at","no","AT1G32170","xyloglucan endotransglucosylase/hydrolase 30"
"245795_at","no","AT1G32160","Protein of unknown function (DUF760)"
"245796_at","no","AT1G32230","WWE protein-protein interaction domain protein family"
"245797_at","no","AT1G45230","Protein of unknown function (DUF3223)"
"245798_at","no","AT1G45545","Plant protein of unknown function (DUF827)"
"245799_at","no","AT1G45616","receptor like protein 6"
"245800_at","no","AT1G46264","heat shock transcription factor  B4"
"245801_at","no","AT1G46912","F-box associated ubiquitination effector family protein"
"245802_at","no","AT1G46840","F-box family protein"
"245803_at","no","AT1G47128","Granulin repeat cysteine protease family protein"
"245804_at","no","AT1G46696","Protein of unknown function, DUF601"
"245805_at","no","AT1G46336","unknown protein; Has 1 Blast hits to 1 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245806_at","no","AT1G45474","photosystem I light harvesting complex gene 5"
"245807_at","no","AT1G46768","related to AP2 1"
"245808_at","no","AT1G58470","RNA-binding protein 1"
"245809_at","no","AT1G58440","FAD/NAD(P)-binding oxidoreductase family protein"
"245810_at","no","AT1G38065;AT1G38131","[AT1G38065, O-fucosyltransferase family protein];[AT1G38131, O-fucosyltransferase family protein]"
"245811_at","no","AT1G37537","transposable element gene"
"245813_at","no","AT1G49920","MuDR family transposase"
"245814_at","no","AT1G49910","Transducin/WD40 repeat-like superfamily protein"
"245815_at","no","AT1G26090","P-loop containing nucleoside triphosphate hydrolases superfamily protein"
"245816_at","no","AT1G26210","SOB five-like 1"
"245817_at","no","AT1G26160","Metal-dependent phosphohydrolase"
"245818_at","no","AT1G26100","Cytochrome b561/ferric reductase transmembrane protein family"
"245819_at","no","AT1G26310","K-box region and MADS-box transcription factor family protein "
"245820_at","no","AT1G26320","Zinc-binding dehydrogenase family protein"
"245821_at","no","AT1G26270","Phosphatidylinositol 3- and 4-kinase family protein"
"245822_at","no","AT1G26110","decapping 5"
"245823_at","no","AT1G57906","unknown protein; BEST Arabidopsis thaliana protein match is: F-box family protein with a domain of unknown function (DUF295) (TAIR:AT2G17690.1); Has 57 Blast hits to 57 proteins in 5 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 57; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245824_at","no","AT1G57943","purine permease 17"
"245825_at","no","AT1G57870","shaggy-like kinase 42"
"245826_at","no","AT1G57850","Toll-Interleukin-Resistance (TIR) domain family protein"
"245827_at","no","AT1G57830","Toll-Interleukin-Resistance (TIR) domain family protein"
"245828_at","no","AT1G57820","Zinc finger (C3HC4-type RING finger) family protein"
"245829_at","no","AT1G57780","heavy-metal-associated domain-containing protein"
"245830_at","no","AT1G57790","F-box family protein"
"245831_at","no","AT1G48840","Plant protein of unknown function (DUF639)"
"245832_at","no","AT1G48850","chorismate synthase, putative / 5-enolpyruvylshikimate-3-phosphate phospholyase, putative"
"245833_at","no","AT1G42220","transposable element gene"
"245834_at","no","AT1G42200","transposable element gene"
"245835_at","no","AT1G42190","GAG/POL/ENV polyprotein"
"245836_at","no","AT1G42250","transposable element gene"
"245837_at","no","AT1G58450","Tetratricopeptide repeat (TPR)-like superfamily protein"
"245838_at","no","AT1G58410","Disease resistance protein (CC-NBS-LRR class) family"
"245839_at","no","AT1G58390","Disease resistance protein (CC-NBS-LRR class) family"
"245840_at","no","AT1G58420","Uncharacterised conserved protein UCP031279"
"245841_s_at","no","AT1G58380;AT1G58684;AT1G59359;AT1G58983","[AT1G58380, Ribosomal protein S5 family protein];[AT1G58684, Ribosomal protein S5 family protein];[AT1G59359, Ribosomal protein S5 family protein];[AT1G58983, Ribosomal protein S5 family protein]"
"245842_at","no","AT1G58430","GDSL-like Lipase/Acylhydrolase family protein"
"245844_at","no","AT1G26170","ARM repeat superfamily protein"
"245845_at","no","AT1G26150","proline-rich extensin-like receptor kinase 10"
"245846_at","no","AT1G26130","ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein"
"245847_at","no","AT5G11050","myb domain protein 64"
"245848_at","no","AT5G13480","Transducin/WD40 repeat-like superfamily protein"
"245849_at","no","AT5G13520","peptidase M1 family protein"
"245850_at","no","AT5G13530","protein kinases;ubiquitin-protein ligases"
"245851_at","no","AT5G13530","protein kinases;ubiquitin-protein ligases"
"245852_at","no","AT5G13510","Ribosomal protein L10 family protein"
"245853_at","no","AT5G13500","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G25265.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink)."
"245854_at","no","AT5G13490","ADP/ATP carrier 2"
"245855_at","no","AT5G13550","sulfate transporter 4.1"
"245856_at","no","AT5G28240","transposable element gene"
"245857_at","no","AT5G28270","transposable element gene"
"245858_at","no","AT5G28280","pseudogene, sterol desaturase domain-containing protein, CER1-like, A.thaliana, ATCER1L19; blastp match of 55% identity and 8.9e-22 P-value to GP|4769012|gb|AAD29719.1|AF143746_1|AF143746 CER1 {Oryza sativa}"
"245859_at","no","AT5G28290","NIMA-related kinase 3"
"245860_at","no","AT5G28310","NAD(P)-binding Rossmann-fold superfamily protein"
"245861_at","no","AT5G28300","Duplicated homeodomain-like superfamily protein"
"245862_at","no","AT5G01010","CONTAINS InterPro DOMAIN/s: GOLD (InterPro:IPR009038); Has 172 Blast hits to 172 proteins in 43 species: Archae - 0; Bacteria - 0; Metazoa - 95; Fungi - 0; Plants - 63; Viruses - 0; Other Eukaryotes - 14 (source: NCBI BLink)."
"245863_s_at","no","AT1G58060;AT1G58050","[AT1G58060, RNA helicase family protein];[AT1G58050, RNA helicase family protein]"
"245864_at","no","AT1G58070","unknown protein; Has 286 Blast hits to 266 proteins in 81 species: Archae - 2; Bacteria - 25; Metazoa - 90; Fungi - 19; Plants - 78; Viruses - 4; Other Eukaryotes - 68 (source: NCBI BLink)."
"245866_s_at","no","AT1G57990;AT1G57980","[AT1G57990, purine permease 18];[AT1G57980, Nucleotide-sugar transporter family protein]"
"245867_at","no","AT1G58080","ATP phosphoribosyl transferase 1"
"245868_at","no","AT1G58030","cationic amino acid transporter 2"
"245869_at","no","AT1G26330","DNA binding"
"245870_at","no","AT1G26300","BSD domain-containing protein"
"245871_at","no","AT1G26290","unknown protein; Has 126 Blast hits to 112 proteins in 36 species: Archae - 0; Bacteria - 6; Metazoa - 14; Fungi - 3; Plants - 14; Viruses - 0; Other Eukaryotes - 89 (source: NCBI BLink)."
"245872_at","no","AT1G26300","BSD domain-containing protein"
"245873_at","no","AT1G26260","cryptochrome-interacting basic-helix-loop-helix 5"
"245875_at","no","AT1G26240","Proline-rich extensin-like family protein"
"245876_at","no","AT1G26230","TCP-1/cpn60 chaperonin family protein"
"245877_at","no","AT1G26220","Acyl-CoA N-acyltransferases (NAT) superfamily protein"
"245878_at","no","AT1G26190","Phosphoribulokinase / Uridine kinase family"
"245879_at","no","AT5G09420","translocon at the outer membrane of chloroplasts 64-V"
"245880_at","no","AT5G09430","alpha/beta-Hydrolases superfamily protein"
"245881_at","no","AT5G09462;AT5G09460;AT5G09463;AT5G09461","[AT5G09462, conserved peptide upstream open reading frame 42];[AT5G09460, sequence-specific DNA binding transcription factors;transcription regulators];[AT5G09463, conserved peptide upstream open reading frame 41];[AT5G09461, conserved peptide upstream open reading frame 43]"
"245882_at","no","AT5G09470","dicarboxylate carrier 3"
"245883_at","no","AT5G09500","Ribosomal protein S19 family protein"
"245884_at","no","AT5G09300","Thiamin diphosphate-binding fold (THDP-binding) superfamily protein"
"245885_at","no","AT5G09440","EXORDIUM like 4"
"245886_at","no","AT5G09510","Ribosomal protein S19 family protein"
"245887_at","no","AT5G09390","CD2-binding protein-related"
"245888_at","no","AT5G09450","Tetratricopeptide repeat (TPR)-like superfamily protein"
"245889_at","no","AT5G09480","hydroxyproline-rich glycoprotein family protein"
"245890_at","no","AT5G09490","Ribosomal protein S19 family protein"
"245891_at","no","AT5G09220","amino acid permease 2"
"245892_at","no","AT5G09370","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"
"245893_at","no","AT5G09270","unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."
"245894_at","no","AT5G09310","CONTAINS InterPro DOMAIN/s: Gamma-secretase aspartyl protease complex, presenilin enhancer-2 subunit (InterPro:IPR019379); Has 168 Blast hits to 168 proteins in 71 species: Archae - 0; Bacteria - 0; Metazoa - 126; Fungi - 0; Plants - 36; Viruses - 0; Other Eukaryotes - 6 (source: NCBI BLink)."
"245895_at","no","AT5G09230","sirtuin 2"
"245896_at","no","AT5G09250","ssDNA-binding transcriptional regulator"
"245897_at","no","AT5G09400","K+ uptake permease 7"
"245898_at","no","AT5G11020","Protein kinase superfamily protein"
"245899_at","no","AT5G11030","aberrant lateral root formation 4"
"245900_at","no","AT5G11040","TRS120"
"245901_at","no","AT5G11060","KNOTTED1-like homeobox gene 4"
"245902_at","no","AT5G11080","Ubiquitin-like superfamily protein"
"245903_at","no","AT5G11100","Calcium-dependent lipid-binding (CaLB domain) family protein"
"245904_at","no","AT5G11110","sucrose phosphate synthase 2F"
"245905_at","no","AT5G11090","serine-rich protein-related"
"245906_at","no","AT5G11070","unknown protein; Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink)."
"245907_at","no","AT5G09340","Ubiquitin family protein"
"245908_at","no","AT5G09360","laccase 14"
"245909_at","no","AT5G09380","RNA polymerase III RPC4"
"245910_at","no","AT5G09410","ethylene induced calmodulin binding protein"
"245911_at","no","AT5G19690","staurosporin and temperature sensitive 3-like A"
"245912_at","no","AT5G19600","sulfate transporter 3;5"
"245913_at","no","AT5G19860","Protein of unknown function, DUF538"
"245914_at","no","AT5G19620","outer envelope protein of 80 kDa"
"245915_s_at","no","AT5G19780;AT5G19770","[AT5G19780, tubulin alpha-5];[AT5G19770, tubulin alpha-3]"
"245917_at","no","AT5G28740","Tetratricopeptide repeat (TPR)-like superfamily protein"
"245918_at","no","AT5G28760","transposable element gene"
"245919_at","no","AT5G28780","PIF1 helicase"
"245920_at","no","AT5G28790","transposable element gene"
"245921_at","no","AT5G28800","unknown protein; Has 1 Blast hits to 1 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"245922_at","no","AT5G28810","Domain of unknown function (DUF1985)"
"245923_at","no","AT5G28820","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G27260.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."
"245924_at","no","AT5G28750","Bacterial sec-independent translocation protein mttA/Hcf106"
"245925_at","no","AT5G28770","bZIP transcription factor family protein"
"245926_at","no","AT5G24740","Protein of unknown function (DUF1162)"
"245927_at","no","AT5G24750","UDP-Glycosyltransferase superfamily protein"
"245928_s_at","no","AT5G24770;AT5G24780","[AT5G24770, vegetative storage protein 2];[AT5G24780, vegetative storage protein 1]"
"245929_at","no","AT5G24760","GroES-like zinc-binding dehydrogenase family protein"
"245930_at","no","AT5G09240","ssDNA-binding transcriptional regulator"
"245931_at","no","AT5G09280","Pectin lyase-like superfamily protein"
"245932_at","no","AT5G09290","Inositol monophosphatase family protein"
"245933_at","no","AT5G09320","Vacuolar sorting protein 9 (VPS9) domain"
"245934_at","no","AT5G09330","NAC domain containing protein 82"
"245935_at","no","AT5G19840","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"
"245936_at","no","AT5G19850","alpha/beta-Hydrolases superfamily protein"
"245937_at","no","AT5G19750","Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein"
"245938_at","no","AT5G19680","Leucine-rich repeat (LRR) family protein"
"245939_at","no","AT5G19760","Mitochondrial substrate carrier family protein"
"245940_at","no","AT5G19630","alpha/beta-Hydrolases superfamily protein"
"245941_at","no","AT5G19820","ARM repeat superfamily protein"
"245942_at","no","AT5G19490","Histone superfamily protein"
"245943_at","no","AT5G19500","Tryptophan/tyrosine permease"
"245944_at","no","AT5G19520","mechanosensitive channel of small conductance-like 9"
"245945_at","no","AT5G19560","ROP uanine nucleotide exchange factor 10"
"245946_at","no","AT5G19580","glyoxal oxidase-related protein"
"245947_at","no","AT5G19530","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"
"245948_at","no","AT5G19540","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink)."
"245949_at","no","AT5G19510","Translation elongation  factor EF1B/ribosomal protein S6 family protein"
"245950_at","no","AT5G19570","unknown protein; CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0546 (InterPro:IPR018908); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink)."
"245951_at","no","AT5G19550","aspartate aminotransferase 2"
"245952_at","no","AT5G28500","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast stroma, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G04550.1); Has 109 Blast hits to 109 proteins in 49 species: Archae - 0; Bacteria - 67; Metazoa - 0; Fungi - 0; Plants - 41; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink)."
"245953_at","no","AT5G28520","Mannose-binding lectin superfamily protein"
"245954_at","no","AT5G28530","FAR1-related sequence 10"
"245955_at","no","AT5G28510","beta glucosidase 24"
"245956_s_at","no","AT5G42020;AT5G28540","[AT5G42020, Heat shock protein 70 (Hsp 70) family protein];[AT5G28540, heat shock protein 70 (Hsp 70) family protein]"
"245957_at","no","AT5G19590","Protein of unknown function, DUF538"
"245958_at","no","AT5G19610","GNOM-like 2"
"245959_at","no","AT5G19640","Major facilitator superfamily protein"
"245960_at","no","AT5G19660","SITE-1 protease"
"245961_at","no","AT5G19670","Exostosin family protein"
"245962_at","no","AT5G19700","MATE efflux family protein"
"245963_at","no","AT5G19710","BEST Arabidopsis thaliana protein match is: HPT phosphotransmitter 4 (TAIR:AT3G16360.2); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink)."
"245964_at","no","AT5G19720","Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain"
"245965_at","no","AT5G19730","Pectin lyase-like superfamily protein"
"245966_at","no","AT5G19790","related to AP2 11"
"245967_at","no","AT5G19800","hydroxyproline-rich glycoprotein family protein"
"245968_at","no","AT5G19810","Proline-rich extensin-like family protein"
"245969_at","no","AT5G19830","Peptidyl-tRNA hydrolase family protein"
"245970_at","no","AT5G20710","beta-galactosidase 7"
"245971_at","no","AT5G20730","Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-related"
"245972_at","no","AT5G20680","TRICHOME BIREFRINGENCE-LIKE 16"
"245973_at","no","AT5G32490","transposable element gene"
"245975_at","no","AT5G13070","MSF1-like family protein"
"245976_at","no","AT5G13080","WRKY DNA-binding protein 75"
"245977_at","no","AT5G13110","glucose-6-phosphate dehydrogenase 2"
"245978_at","no","AT5G13130","Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein"
"245979_at","no","AT5G13150","exocyst subunit exo70 family protein C1"
